network,address,milkyway_milk_balance,milkyway_milk_staking,osmosis_milk_balance,bsc_milk_balance
milkyway,milk109vfrjvjnje7peul957xdm0elf46y0hu8xhz6j,12175642,0,0,0
milkyway,milk109vfxc0j3wqa49wy88l095xvydrf2kz5jrxfqg,19184000,0,0,0
milkyway,milk109z573p4rk343ewagw5vlu0vyv2cqj9dmmn2es,77239,0,0,0
milkyway,milk10a0aln6ge6knjdsu7glxppdkxu5gspp9x753yu,7574000,0,0,0
milkyway,milk10a4dk8ymd8upkgt5egrflakknwm87u7ahqyuea,99786,0,0,0
milkyway,milk10a6vm57ktmn5my9rulsdkpgka4xdtz5wrqxdr7,1079752,0,0,0
milkyway,milk10a80g477uphjslc4f5sv7ydm4kfy2arnx3dp4r,3072344,0,0,0
milkyway,milk10a8n3x4frqvut9xlampu569fxt0g9ct9qq7g9a,111376,0,0,0
milkyway,milk10a9p7eg0xelusjccch68daygsgtfkud4gxm8dm,19130461,0,0,0
milkyway,milk10aayhp5xm3czgpdvv2598784hwzkw2qgyz57rt,146247184,0,0,0
milkyway,milk10acc3nymzau65gaht3sre2wcrx338gfr4fq6j9,26212500,0,0,0
milkyway,milk10acledd2rf2ma8fsf8glrphpjuy4nwn3wu7st7,1655,0,0,0
milkyway,milk10adwv4uca05qawqx8w7wvuqnttr6svfz6640xt,348470625,0,0,0
milkyway,milk10ahveg2qg6cxhkdnkcercffsze2d7lfq084v4s,14213999,0,0,0
milkyway,milk10ajdazt6qkdfqczl0ux6nrlukcmexfnvkqqzsy,1530456,0,0,0
milkyway,milk10ajyf82kau5xmqn0acl0xff2lm4neeervtd5hz,8422000,0,0,0
milkyway,milk10aletxnywmpak5af8lua9yn3hhwleyjg58pdvq,24959936,0,0,0
milkyway,milk10amhsl2mwkte2mgdzst4rvtfccr45euvfymcmm,217706,0,0,0
milkyway,milk10app9zaajt6m2keng2rfp5l2kydv7wym8gdqt0,14211935,0,0,0
milkyway,milk10ar0neumu6sfcknwzf90kkjsy8teqhyg9uwg83,392475,0,0,0
milkyway,milk10arkglvj6lv7htffgydy2e3lr57ur6rckw6ajy,10873993,0,0,0
milkyway,milk10aurw3y23wd249500pf463fwp8y8k7gmmzukwc,96119,0,0,0
milkyway,milk10avtade4jqxgwn7sceszxvh5rmqmfdsvj7ltrz,513,0,0,0
milkyway,milk10awl9tzper6z8tx702279243e3jlhg8ee7ehk3,1557623,0,0,0
milkyway,milk10ax98aca0dtdcs3ztwzhr8dgx73xqu8kx7vkqg,58517999,0,0,0
milkyway,milk10axj5yx97qcvarg30zpuc9utaptncqqrffma2e,62424589,0,0,0
milkyway,milk10axjzv4jjsctgyjcdylqafz9cwnetzmpuulydf,3450286,0,0,0
milkyway,milk10ay52s038taxzyy3l89l3npma6ph99qn90mufq,7886000,0,0,0
milkyway,milk10aycg0hwdjgt4jmzuf8we9rcat7ya2v3zt0t6a,1909136,0,0,0
milkyway,milk10az8y677yhvjgehq52y5nkhy3u5vsua9daczav,1927261,0,0,0
milkyway,milk10azhn5xx72v5e9fkt3dlzurfsvlsy8qg7gyvxa,819314000,0,0,0
milkyway,milk10azn2kx0hxp9zwey9udzwz5srjxzqky2l4ecju,9606000,0,0,0
milkyway,milk10azrzn45u47n7m07vs4tntsrq5wchgc9mallmg,287431,0,0,0
milkyway,milk10c0r93qtmqvanm6h58ad5gk5xnefyzqrt39qsg,2292000,0,0,0
milkyway,milk10c2ayqcmj43rssyny2qzf33acmdvwrflucgerr,724921,0,0,0
milkyway,milk10c3ljkd7h5ppt87kdeacxvcst4wetyqmrcynw6,295,0,0,0
milkyway,milk10c3r27nekd9w7s3swwg3t9sf5hzrvqjfdplrvk,1146032,0,0,0
milkyway,milk10c3zqws7tm6ueympq4qxs7j8eza4k788mqzawn,748415115,0,0,0
milkyway,milk10c40alzkyfwgaydr733hn5sfff4z6rp7pmel5g,36440000,0,0,0
milkyway,milk10c4gya442twq9zxrr24qvmwwz4w64xvjc0e3fw,119888270,0,0,0
milkyway,milk10c5fd2630cf50v492y2rmpqwnqrkgntp6q3rwg,17198000,0,0,0
milkyway,milk10c67u4a56v3af7j0amyjhuzek25avs36xsm7q6,15784226,0,0,0
milkyway,milk10c6qww5zkk4htweqh0x5utehkcs6mm4wgzc8w6,24069962,0,0,0
